date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:40	84/84	---M-Z	404	error ('Not%20Found')	text/plain	date:Tue,%2017%20Jun%202014%2019:14:40%20UTC	http://realestateassistance.minyawns.com/robots.txt		(from )
14:14:41	29935/29935	---M-Z	200	added ('OK')	text/html	etag:0550c3f39bd69bf69843a1e54817b115	http://realestateassistance.minyawns.com/	C:/My%20Web%20Sites/RealEstateAssisstant/realestateassistance.minyawns.com/index.html	(from )
14:14:41	867/867	---M--	200	added ('OK')	text/css	etag:%2211eb425768496ded1051e3478ba51c5b%22	http://d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/reset-81c62fcc415bd2d6fa009d66c47174b6.css	C:/My%20Web%20Sites/RealEstateAssisstant/d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/reset-81c62fcc415bd2d6fa009d66c47174b6.css	(from http://realestateassistance.minyawns.com/)
14:14:41	14421/14421	---M--	200	added ('OK')	text/css	etag:%22005461df3e146acade6246e177e75e5c%22	http://d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/page_defaults-51106e3201e46dda1a87a862c399c420.css	C:/My%20Web%20Sites/RealEstateAssisstant/d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/page_defaults-51106e3201e46dda1a87a862c399c420.css	(from http://realestateassistance.minyawns.com/)
14:14:44	41041/41041	---MCZ	200	added ('OK')	text/x-component	etag:3b8fed93f46e41f2a69bd65c289de89b	http://realestateassistance.minyawns.com/PIE.htc	C:/My%20Web%20Sites/RealEstateAssisstant/realestateassistance.minyawns.com/PIE.htc	(from http://realestateassistance.minyawns.com/)
14:14:44	641/641	---M--	200	added ('OK')	application/javascript	etag:%22550bf4d55f148aa3459eafa64f3eb6a3%22	http://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/api/unbounce.js	C:/My%20Web%20Sites/RealEstateAssisstant/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/api/unbounce.js	(from http://realestateassistance.minyawns.com/)
14:14:45	1673/1673	---M--	200	added ('OK')	application/javascript	etag:%222aa880f732e2bab800268592a6e7be31%22	http://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/lp-text/2.8/main.js	C:/My%20Web%20Sites/RealEstateAssisstant/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/lp-text/2.8/main.js	(from http://realestateassistance.minyawns.com/)
14:14:45	842/842	---M--	200	added ('OK')	application/javascript	etag:%22eae9e66b0c0c5bf081558d449d0aa6cf%22	http://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/lp-button/2.1/main.js	C:/My%20Web%20Sites/RealEstateAssisstant/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/lp-button/2.1/main.js	(from http://realestateassistance.minyawns.com/)
14:14:48	17698/17698	---MC-	200	added ('OK')	text/javascript	date:Fri,%2007%20Jun%202013%2018:26:35%20GMT	http://ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	C:/My%20Web%20Sites/RealEstateAssisstant/ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	(from http://realestateassistance.minyawns.com/)
14:14:49	5706/5706	---M--	200	added ('OK')	image/png	etag:%22c0498a3d1bd57f9cb46419b2d6496ed3%22	http://d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/xom39g-minyawnslogouw_05801p05801p000000.png	C:/My%20Web%20Sites/RealEstateAssisstant/d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/xom39g-minyawnslogouw_05801p05801p000000.png	(from http://realestateassistance.minyawns.com/)
14:14:50	293/293	---M--	200	added ('OK')	image/png	etag:%22517c92ba9dd6977889d198e530614e45%22	http://d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/1hqns8r-triangle-white.png	C:/My%20Web%20Sites/RealEstateAssisstant/d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/1hqns8r-triangle-white.png	(from http://realestateassistance.minyawns.com/)
14:14:50	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Jun%202014%2019:14:50%20UTC	http://realestateassistance.minyawns.com/clkn/http/www.minyawns.com/	C:/My%20Web%20Sites/RealEstateAssisstant/realestateassistance.minyawns.com/clkn/http/www.minyawns.com/index.html	(from http://realestateassistance.minyawns.com/)
14:14:50	354/354	---M--	200	added ('OK')	image/png	etag:%227ffff3efb132fa93a329afa69b3861ff%22	http://d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/12doq4e-polar-triangle-blue.png	C:/My%20Web%20Sites/RealEstateAssisstant/d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/12doq4e-polar-triangle-blue.png	(from http://realestateassistance.minyawns.com/)
14:14:51	2592/2592	---M--	200	added ('OK')	image/jpeg	etag:%2222593d5f008b62d204e5b8f8cb9b21e6%22	http://d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/150r6ll-testimonial-man_01e01e01e01e000000.jpg	C:/My%20Web%20Sites/RealEstateAssisstant/d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/150r6ll-testimonial-man_01e01e01e01e000000.jpg	(from http://realestateassistance.minyawns.com/)
14:14:51	2418/2418	---M--	200	added ('OK')	image/png	etag:%22a537cd16db9bde8a9b5d28c4f59ab791%22	http://d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/135mqmc-icon1_047047047047000000.png	C:/My%20Web%20Sites/RealEstateAssisstant/d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/135mqmc-icon1_047047047047000000.png	(from http://realestateassistance.minyawns.com/)
14:14:53	10537/10537	---M--	200	added ('OK')	image/jpeg	etag:%223d5ebe38beecba8b894590ebe8399c06%22	http://d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/97hrgu-selection_08l05z08l05z000000.jpg	C:/My%20Web%20Sites/RealEstateAssisstant/d9hhrg4mnvzow.cloudfront.net/realestateassistance.minyawns.com/97hrgu-selection_08l05z08l05z000000.jpg	(from http://realestateassistance.minyawns.com/)
14:14:53	72174/72174	---MC-	200	added ('OK')	text/javascript	date:Mon,%2002%20Apr%202012%2018:24:28%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.4.2/jquery.min.js	C:/My%20Web%20Sites/RealEstateAssisstant/ajax.googleapis.com/ajax/libs/jquery/1.4.2/jquery.min.js	(from http://realestateassistance.minyawns.com/)
