date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:34	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Jun%202014%2019:24:34%20UTC	http://try.minyawns.com/business	C:/My%20Web%20Sites/SmallBusiness/try.minyawns.com/business.0.delayed	(from )
14:24:34	84/84	---MCZ	404	error ('Not%20Found')	text/plain	date:Tue,%2017%20Jun%202014%2019:24:34%20UTC	http://try.minyawns.com/robots.txt		(from )
14:24:35	31585/31585	---MCZ	200	added ('OK')	text/html	etag:9c4076a929203a372b394d3d735cb966	http://try.minyawns.com/business/	C:/My%20Web%20Sites/SmallBusiness/try.minyawns.com/business/index.html	(from )
14:24:35	867/867	---M--	200	added ('OK')	text/css	etag:%2211eb425768496ded1051e3478ba51c5b%22	http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/reset-81c62fcc415bd2d6fa009d66c47174b6.css	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/reset-81c62fcc415bd2d6fa009d66c47174b6.css	(from http://try.minyawns.com/business/)
14:24:35	14403/14403	---M--	200	added ('OK')	text/css	etag:%22e99a73b70bff75f74135d6cb67b7b300%22	http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/page_defaults-4c9db0d0b46ddf4baece4f0b99da6dcd.css	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/page_defaults-4c9db0d0b46ddf4baece4f0b99da6dcd.css	(from http://try.minyawns.com/business/)
14:24:38	41041/41041	---MCZ	200	added ('OK')	text/x-component	etag:3b8fed93f46e41f2a69bd65c289de89b	http://try.minyawns.com/PIE.htc	C:/My%20Web%20Sites/SmallBusiness/try.minyawns.com/PIE.htc	(from http://try.minyawns.com/business/)
14:24:38	641/641	---M--	200	added ('OK')	application/javascript	etag:%22550bf4d55f148aa3459eafa64f3eb6a3%22	http://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/api/unbounce.js	C:/My%20Web%20Sites/SmallBusiness/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/api/unbounce.js	(from http://try.minyawns.com/business/)
14:24:38	1673/1673	---M--	200	added ('OK')	application/javascript	etag:%222aa880f732e2bab800268592a6e7be31%22	http://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/lp-text/2.8/main.js	C:/My%20Web%20Sites/SmallBusiness/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/lp-text/2.8/main.js	(from http://try.minyawns.com/business/)
14:24:39	842/842	---M--	200	added ('OK')	application/javascript	etag:%22eae9e66b0c0c5bf081558d449d0aa6cf%22	http://d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/lp-button/2.1/main.js	C:/My%20Web%20Sites/SmallBusiness/d2xxq4ijfwetlm.cloudfront.net/m/lp-webapp/0.0.9/lp-button/2.1/main.js	(from http://try.minyawns.com/business/)
14:24:42	17698/17698	---MC-	200	added ('OK')	text/javascript	date:Fri,%2007%20Jun%202013%2018:26:35%20GMT	http://ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	C:/My%20Web%20Sites/SmallBusiness/ajax.googleapis.com/ajax/libs/webfont/1.4.7/webfont.js	(from http://try.minyawns.com/business/)
14:24:42	293/293	---M--	200	added ('OK')	image/png	etag:%22517c92ba9dd6977889d198e530614e45%22	http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/1hqns8r-triangle-white.png	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/1hqns8r-triangle-white.png	(from http://try.minyawns.com/business/)
14:24:43	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2017%20Jun%202014%2019:24:42%20UTC	http://try.minyawns.com/business/clkn/http/www.minyawns.com/	C:/My%20Web%20Sites/SmallBusiness/try.minyawns.com/business/clkn/http/www.minyawns.com/index.html	(from http://try.minyawns.com/business/)
14:24:43	354/354	---M--	200	added ('OK')	image/png	etag:%227ffff3efb132fa93a329afa69b3861ff%22	http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/12doq4e-polar-triangle-blue.png	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/12doq4e-polar-triangle-blue.png	(from http://try.minyawns.com/business/)
14:24:44	2592/2592	---M--	200	added ('OK')	image/jpeg	etag:%2222593d5f008b62d204e5b8f8cb9b21e6%22	http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/150r6ll-testimonial-man_01e01e01e01e000000.jpg	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/150r6ll-testimonial-man_01e01e01e01e000000.jpg	(from http://try.minyawns.com/business/)
14:24:44	2418/2418	---M--	200	added ('OK')	image/png	etag:%22f1587ace7d81509b04444c8312bc6de8%22	http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/135mqmc-icon1_047047047047000000.png	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/135mqmc-icon1_047047047047000000.png	(from http://try.minyawns.com/business/)
14:24:46	10537/10537	---M--	200	added ('OK')	image/jpeg	etag:%223d5ebe38beecba8b894590ebe8399c06%22	http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/97hrgu-selection_08l05z08l05z000000.jpg	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/97hrgu-selection_08l05z08l05z000000.jpg	(from http://try.minyawns.com/business/)
14:24:47	4039/4039	---M--	200	added ('OK')	image/png	etag:%22a9c143153ddca9b8fbac3bfdfcc1a062%22	http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/1qqgss0-icon4_04q04q04q04q000000.png	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/1qqgss0-icon4_04q04q04q04q000000.png	(from http://try.minyawns.com/business/)
14:24:48	72174/72174	---MC-	200	added ('OK')	text/javascript	date:Mon,%2002%20Apr%202012%2018:24:28%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.4.2/jquery.min.js	C:/My%20Web%20Sites/SmallBusiness/ajax.googleapis.com/ajax/libs/jquery/1.4.2/jquery.min.js	(from http://try.minyawns.com/business/)
14:24:48	6674/6674	---M--	200	added ('OK')	image/png	etag:%225f9b7b4b56e363db2065d237ca796ca0%22	http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/zvevoe-icon5_04q04q04q04q000000.png	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/zvevoe-icon5_04q04q04q04q000000.png	(from http://try.minyawns.com/business/)
14:24:49	5534/5534	---M--	200	added ('OK')	image/png	etag:%22599bca78108a951473ab72b381a9d761%22	http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/mo6o8q-icon2_04q04q04q04q000000.png	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/mo6o8q-icon2_04q04q04q04q000000.png	(from http://try.minyawns.com/business/)
14:24:49	5627/5627	---M--	200	added ('OK')	image/png	etag:%223102947910ee1ecdf3c3297af9d52225%22	http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/3b112g-icon3_04q04q04q04q000000.png	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/3b112g-icon3_04q04q04q04q000000.png	(from http://try.minyawns.com/business/)
14:24:50	7122/7122	---M--	200	added ('OK')	image/png	etag:%2270736e0d2a70c7438424ac75fefac1c7%22	http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/1ah1h4u-quotesblank_0en03q0en03q000000.png	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/1ah1h4u-quotesblank_0en03q0en03q000000.png	(from http://try.minyawns.com/business/)
14:24:50	5706/5706	---M--	200	added ('OK')	image/png	etag:%228e37b0bccde66855498f626a8470b707%22	http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/xom39g-minyawnslogouw_05801p05801p000000.png	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/xom39g-minyawnslogouw_05801p05801p000000.png	(from http://try.minyawns.com/business/)
14:24:50	231/231	---MC-	403	error ('Forbidden')	application/xml	date:Tue,%2017%20Jun%202014%2019:24:50%20GMT	http://d9hhrg4mnvzow.cloudfront.net/images/icons/close.png	C:/My%20Web%20Sites/SmallBusiness/d9hhrg4mnvzow.cloudfront.net/images/icons/close.png	(from http://d9hhrg4mnvzow.cloudfront.net/try.minyawns.com/business/page_defaults-4c9db0d0b46ddf4baece4f0b99da6dcd.css)
